university,college
"Acharya Nagarjuna University, Guntur ","Sri Sadhana Degree College, Markapur "
"Acharya Nagarjuna University, Guntur ",Sri Sai Degree College
"Acharya Nagarjuna University, Guntur ","Sri Sai Degree College, Repalle "
"Acharya Nagarjuna University, Guntur ",Sri Sarada Niketanam Oriental College
"Acharya Nagarjuna University, Guntur ","Sri Sidhartha Degree College, Bestavaripeta "
"Acharya Nagarjuna University, Guntur ",Sri Tatiparthi Venkata Reddy Memorial College of Education
"Acharya Nagarjuna University, Guntur ",Sri Vasavi Kanyaka Parameswari Degree College
"Acharya Nagarjuna University, Guntur ",Sri Venkateswara Balakuteer College of Education
"Acharya Nagarjuna University, Guntur ",Sri Venkateswara College of Education
"Acharya Nagarjuna University, Guntur ","Sri Venkateswara College of Education, Darsi "
"Acharya Nagarjuna University, Guntur ",Sri Venkateswara Degree College
"Acharya Nagarjuna University, Guntur ","Sri Venkateswara Degree College, Guntur "
"Acharya Nagarjuna University, Guntur ","Sri Venkateswara Degree College, Nakirekallu "
"Acharya Nagarjuna University, Guntur ",Sri Venkateswara & Sri Satyadev Degree College
"Acharya Nagarjuna University, Guntur ","Sri Vivekananda Degree College, Podili "
"Acharya Nagarjuna University, Guntur ",S.S. Arts & Science College
"Acharya Nagarjuna University, Guntur ",S.S. & N. College
"Acharya Nagarjuna University, Guntur ",S.S.N. Degree College
"Acharya Nagarjuna University, Guntur ","S.S.N Degree College, Podili "
"Acharya Nagarjuna University, Guntur ",St. Anns College for Women
"Acharya Nagarjuna University, Guntur ",St. Ignatious Degree College
"Acharya Nagarjuna University, Guntur ",St. John College of Education
"Acharya Nagarjuna University, Guntur ",St. Joseph's College of Education for Women
"Acharya Nagarjuna University, Guntur ",St Mark NTR College of Education
"Acharya Nagarjuna University, Guntur ","St Mary's B.Ed College, Podili "
"Acharya Nagarjuna University, Guntur ",St. Paul's College of Education
"Acharya Nagarjuna University, Guntur ",St. Peter & G. Krishna College of Education
"Acharya Nagarjuna University, Guntur ","St. Theressa Degree College - Hotel Management, Tenali "
"Acharya Nagarjuna University, Guntur ",St. Xavier Institute of Pharmacy
"Acharya Nagarjuna University, Guntur ",S.V. Arts & Science College
"Acharya Nagarjuna University, Guntur ","S.V.B.S Degree College, Komarole "
"Acharya Nagarjuna University, Guntur ","S.V.K.P. Arts, Science & Commerce College "
"Acharya Nagarjuna University, Guntur ",S.V.K.P. College
"Acharya Nagarjuna University, Guntur ",S.V.K.P. Degree College
"Acharya Nagarjuna University, Guntur ","S.V.K.P P.G College, Cumbum "
"Acharya Nagarjuna University, Guntur ",S.V.R.M. College
"Acharya Nagarjuna University, Guntur ","Sweekaar College of Special Education (M.R), Guntur "
"Acharya Nagarjuna University, Guntur ","Sweekaar Degree College, Guntur "
"Acharya Nagarjuna University, Guntur ",Tarlapadu College of Education
"Acharya Nagarjuna University, Guntur ",TCMT College
